dataset,dataset_size,cleaned_dataset_size,num_issues,task,model,metric,cv_mean,cv_std,train_time,original_metric,cleaned_metric,improvement
iris,142,142,150,classification,LogisticRegression,1.0,1.0,0.0,0.0116047859191894,1.0,1.0,0.0
iris,142,142,150,classification,RandomForestClassifier,1.0,1.0,0.0,0.1180694103240966,1.0,1.0,0.0
iris,142,142,150,classification,KNeighborsClassifier,1.0,1.0,0.0,0.001927375793457,1.0,1.0,0.0
iris,142,142,150,classification,DecisionTreeClassifier,1.0,1.0,0.0,0.0020244121551513,1.0,1.0,0.0
wine,176,176,178,classification,LogisticRegression,0.9444444444444444,0.9491525423728814,0.0498969540470499,0.1513671875,0.9722,0.9444,-0.0278
wine,176,176,178,classification,RandomForestClassifier,0.9722222222222222,0.9547048509643484,0.0210091875112859,0.1842920780181884,1.0,0.9722,-0.0278
wine,176,176,178,classification,KNeighborsClassifier,0.6388888888888888,0.6822520942918372,0.0557458251963394,0.0016021728515625,0.7222,0.6389,-0.0833
wine,176,176,178,classification,DecisionTreeClassifier,0.9166666666666666,0.9148646015975064,0.036437708187877,0.0020029544830322,0.9444,0.9167,-0.0277
breast_cancer,193,193,286,classification,LogisticRegression,0.9487179487179488,0.932852564102564,0.0383794864621448,0.0061922073364257,0.7931,0.9487,0.1556
breast_cancer,193,193,286,classification,RandomForestClassifier,0.9230769230769232,0.9068910256410256,0.0247345788694181,0.2732632160186767,0.7069,0.9231,0.2162
breast_cancer,193,193,286,classification,KNeighborsClassifier,0.8974358974358975,0.8653846153846154,0.0135982073305105,0.0013785362243652,0.7241,0.8974,0.1733
breast_cancer,193,193,286,classification,DecisionTreeClassifier,0.8717948717948718,0.8499198717948717,0.031025036747135,0.0020689964294433,0.6379,0.8718,0.2339
spambase,4515,4515,4601,classification,LogisticRegression,0.9335548172757476,0.9193798449612404,0.0130243104566902,0.3678319454193115,0.9197,0.9336,0.0139
spambase,4515,4515,4601,classification,RandomForestClassifier,0.9678848283499446,0.946843853820598,0.0245817243995118,0.7902495861053467,0.9555,0.9679,0.0124
spambase,4515,4515,4601,classification,KNeighborsClassifier,0.7918050941306756,0.7807308970099668,0.0349200886205207,0.003838300704956,0.7904,0.7918,0.0014
spambase,4515,4515,4601,classification,DecisionTreeClassifier,0.9401993355481728,0.9096345514950168,0.0351469266589719,0.0693204402923584,0.9186,0.9402,0.0216
adult,46115,46115,48842,classification,LogisticRegression,0.8289059958798656,0.8322020501414634,0.0028069875623281,4.40682864189148,0.8078,0.8289,0.0211
adult,46115,46115,48842,classification,RandomForestClassifier,0.9103328634934404,0.9087715088604564,0.0019114358170327,3.2912185192108154,0.8552,0.9103,0.0551
adult,46115,46115,48842,classification,KNeighborsClassifier,0.7933427301311937,0.7947522030628819,0.0016421802827266,0.0725302696228027,0.7775,0.7933,0.0158
